network,author_username,post_text
twitter,Saffron77,"@whitehouse #whgc The Space Program, it's ridiculous that 40+ years after we first landed on the Moon we have not been back in over 35 years"
twitter,punkmanj,@whitehouse National broadband high speed Internet. Higher speeds for less cost across America.
twitter,yayster,@whitehouse Best bandwidth on the planet should be the USA's next Grand Challenge!  It will help Business and Education!
twitter,BaraKathawa,@whitehouse Follow Google's lead: 1Gbps internet across the nation.  100% penetration.  Net neutrality.  Become a leader of the web.  #whgc
twitter,jakewerlin,@whitehouse alternative energy #whgc
twitter,Jwright280,@whitehouse we should make or children a priority & fix the broken school system Parents shouldn't have 2 fight 2 get kids help they deserve
twitter,my3rdeye,"get ready to tell @whitehouse what our next big technological achievement should be, on Twitter http://bit.ly/9Skuxk /via @ginatrapani #fb"
twitter,NYPinTA,The next Apollo program or human genome project? Which Grand Challenge our Nation should address: http://bit.ly/b1Fyq9 (via @whitehouse)
twitter,lashbriggs,@whitehouse Grand Challenge? PAY OFF OUR DEBT.
twitter,bstrunk,"@whitehouse The next big project should involve creating and harnessing a clean, sustainable energy source!"
twitter,JDenning88,@whitehouse Either Aim for mankind to land on Mars by 2030 or America cut fossil fuel use by 50% by 2050.
twitter,anildash,"@whitehouse Can't we find a way to turn nuclear waste into fuel for nuclear energy? It'd help solve the storage problem, too."
twitter,plumbley,@whitehouse Return us to the Moon! It's time for a national program the entire country can rally around. Let's look to the future!
twitter,petezin,Â¿CaÃ±ones o mantequilla reloaded? RT: @whitehouse: The next Apollo program or human genome project? http://bit.ly/b1Fyq9 #whgc
twitter,san89sweet,@whitehouse yeah genome project like Apollo poryectar although the two that are important to all today
twitter,_Baylink,"@whitehouse *We* need to get off this planet, before Something Bad Happens.  *You* need to reinstate OTA.  Quickly.  That simple. #whgc"
twitter,iluvish,@whitehouse Human Genome Project
twitter,DougEWhite,@whitehouse more jobs needed should be #1 priority
twitter,johnxlibris,@whitehouse make internet access a national priority: like water or electricity #whgc
twitter,williamhatter,@whitehouse Here's a Grand Challenge for you: REPEAL HEALTHCARE REFORM. Please. Single income family of five. Can't support the nation.
twitter,dajmeister,RT @RiptideF: @whitehouse #whgc Space Elevator
twitter,heniadis,@whitehouse Restructure educational system to highlight & encourage creativity & innovation as a core necessity of education #whgc
twitter,chriswho,@whitehouse Human Genome #whgc
twitter,PaulFranz,@whitehouse I think we should work on the next Apollo program because of the technological benefits & the ability to increase our resources.
twitter,BlaiseSmith,@whitehouse Full integration of electric vehicles into our transportation system. Get @btrplc involved! #whgc
twitter,alienfluid,@whitehouse Broadband for everyone!
twitter,heniadis,@whitehouse Restructure educational system to highlight & encourage creativity and innovation to recapture the spirit of American innovation
twitter,gfrotton,RT @friendoflabor @unionmaidn: Wiping out starvation wages and wage theft forever | @WhiteHouse Respond w/a #whgc our Nation should address
twitter,pbseagle,@whitehouse Return to the moon and establish a long term manned colony. #whgc
twitter,DJFathaJulz,@whitehouse Genome all day. You already KNOW what's out there (Apollo)
twitter,riptidef,@whitehouse #whgc Space Elevator
twitter,ponthegears,"@whitehouse We need to upgrade our power grid and rail systems.. not flashy, but super necesary.  National infrastructure!"
twitter,stump0,@whitehouse 10 reasons why Barack Obama is the most naÃ¯ve president in US history: http://bit.ly/deCeHn via @addthis
twitter,LOUDASiSMELL,@whitehouse mapping cancer & universal flu vaccine could be extremely beneficial to the entire globe. Get it.
twitter,bhmulder,@whitehouse You should do the Apollo program: get back to the moon and lets stay there!! #whgc
twitter,Mark10023,@whitehouse the lack of support for continued space exploration stems from ignorance.  Look at the HUGE techno advances started in space.
twitter,kenny_allen,@whitehouse Both...we should be pushing all science and technology. We cannot afford to lose either race. We can multi-task in this country.
twitter,Darmago,@whitehouse #whgc how about making the American public education system number one world wide?
twitter,ryanowens,@whitehouse Human Genome.  Our Genome should not be owned by any one organization but should be available to all
twitter,Lady_fox,@whitehouse Eliminating poverty.
twitter,Loudmouthkid62,@whitehouse Choice is easy--Human Genome.  Why go back over 40 yrs when we can find cures to all kinds of diseases!?  Tackle immigration 2!
twitter,FMPhoenixHawk,"@whitehouse The Space program should  get the funding, but any science support is good. #whgc"
twitter,dajmeister,RT @Darmago: @whitehouse #whgc how about making the American public education system number one world wide?
