"network","author_username","post_text"
"twitter","Saffron77","The Space Program, it's ridiculous that 40+ years after we first landed on the Moon we have not been back in over 35 years"
"twitter","punkmanj","National broadband high speed Internet. Higher speeds for less cost across America."
"twitter","yayster","Best bandwidth on the planet should be the USA's next Grand Challenge!  It will help Business and Education!"
"twitter","BaraKathawa","Follow Google's lead: 1Gbps internet across the nation.  100% penetration.  Net neutrality.  Become a leader of the web."
"twitter","jakewerlin","alternative energy"
"twitter","Jwright280","we should make or children a priority & fix the broken school system Parents shouldn't have 2 fight 2 get kids help they deserve"
"twitter","my3rdeye","get ready to tell  what our next big technological achievement should be, on Twitter http://bit.ly/9Skuxk /via"
"twitter","NYPinTA","The next Apollo program or human genome project? Which Grand Challenge our Nation should address: http://bit.ly/b1Fyq9 (via )"
"twitter","lashbriggs","Grand Challenge? PAY OFF OUR DEBT."
"twitter","bstrunk","The next big project should involve creating and harnessing a clean, sustainable energy source!"
"twitter","JDenning88","Either Aim for mankind to land on Mars by 2030 or America cut fossil fuel use by 50% by 2050."
"twitter","anildash","Can't we find a way to turn nuclear waste into fuel for nuclear energy? It'd help solve the storage problem, too."
"twitter","plumbley","Return us to the Moon! It's time for a national program the entire country can rally around. Let's look to the future!"
"twitter","petezin","CaÃ±ones o mantequilla reloaded? RT: : The next Apollo program or human genome project? http://bit.ly/b1Fyq9"
"twitter","san89sweet","yeah genome project like Apollo poryectar although the two that are important to all today"
"twitter","_Baylink","We* need to get off this planet, before Something Bad Happens.  *You* need to reinstate OTA.  Quickly.  That simple."
"twitter","iluvish","Human Genome Project"
"twitter","DougEWhite","more jobs needed should be  priority"
"twitter","williamhatter","Here's a Grand Challenge for you: REPEAL HEALTHCARE REFORM. Please. Single income family of five. Can't support the nation."
"twitter","dajmeister","Space Elevator"
"twitter","heniadis","Restructure educational system to highlight & encourage creativity & innovation as a core necessity of education"
"twitter","chriswho","Human Genome"
"twitter","PaulFranz","I think we should work on the next Apollo program because of the technological benefits & the ability to increase our resources."
"twitter","BlaiseSmith","Full integration of electric vehicles into our transportation system. Get involved!"
"twitter","alienfluid","Broadband for everyone!"
"twitter","heniadis","Restructure educational system to highlight & encourage creativity and innovation to recapture the spirit of American innovation"
"twitter","gfrotton","Wiping out starvation wages and wage theft forever |  Respond w/a  our Nation should address"
"twitter","pbseagle","Return to the moon and establish a long term manned colony."
"twitter","DJFathaJulz","Genome all day. You already KNOW what's out there (Apollo)"
"twitter","ponthegears","We need to upgrade our power grid and rail systems.. not flashy, but super necesary.  National infrastructure!"
"twitter","stump0","10 reasons why Barack Obama is the most naÃ¯ve president in US history: http://bit.ly/deCeHn via"
"twitter","LOUDASiSMELL","mapping cancer & universal flu vaccine could be extremely beneficial to the entire globe. Get it."
"twitter","bhmulder","You should do the Apollo program: get back to the moon and lets stay there!!"
"twitter","Mark10023","the lack of support for continued space exploration stems from ignorance.  Look at the HUGE techno advances started in space."
"twitter","kenny_allen","Both...we should be pushing all science and technology. We cannot afford to lose either race. We can multi-task in this country."
"twitter","ryanowens","Human Genome.  Our Genome should not be owned by any one organization but should be available to all"
"twitter","Lady_fox","Eliminating poverty."
"twitter","Loudmouthkid62","Choice is easy--Human Genome.  Why go back over 40 yrs when we can find cures to all kinds of diseases!?  Tackle immigration 2!"
"twitter","FMPhoenixHawk","The Space program should  get the funding, but any science support is good."
"twitter","dajmeister","how about making the American public education system number one world wide?"
"twitter","Jmd1953","100% College Graduation. Full Year Education from Grade School on and there will be no Challenge this country could not face."
"twitter","Jamion","Our survival here, depends on our ability to go out there. Space programs, like Constellation, is our planets only hope."
"twitter","AddamBongg","DUDE, I WISH I HAD SOMETHING FOR YOU BESIDES TO PROMOTE PEACE AND TO STOP THE WAR BULLSHIT"
"twitter","Jamion","Overpopulation, not global warming, is the biggest thing threatening out planet, we need to expand into space to survive."
"twitter","ThomasMortley","I have no say in your affairs, but the Apollo programme inspired the world - please keep it up."
"twitter","Ustice","Let's go to Mars. With all of the challenges that that goal poses, we'll get a lot of the others challenges for free."
"twitter","mrcessna","Very expensive but we (mankind) need to explore - the Moon and Mars"
"twitter","twmtalks","Great open-ended question from ! We get bogged down in daily challenges; forget to conquer the big ones. Reminder for us all."
"twitter","kleptomik","less wars"
"twitter","CelestialBeard","65% of energy to be green in 2025"
"twitter","cobaltbluetony","ALL of them should be on our agenda.  And kept from the slimy hands of greedy privateers."
"twitter","runenakken","What kind of question is that? Get serious and battle the threats from global warming, and rein China!"
"twitter","stump0","Obama to America -- I Win, You Lose http://shar.es/msJ4w"
"twitter","VAXHeadroom","Moonbase would inspire our students, create new tech, markets, and businesses and return &gt;10X the INVESTMENT it takes!"
"twitter","cahofmeyr","battery technology that will enable a transition to electric vehicles with requisite charging infrastructure"
"twitter","chrisjohnston","next Apollo program"
"twitter","vsavoldi","Want to change the world? Free Nationwide Wireless Internet Access.   Outerspace and Innerspace not so important for us."
"twitter","stump0","Report: Sarkozy Says Obama May Be 'Insane' | The FOX Nation http://shar.es/msJGU"
"twitter","kellnermgmt","www.myspace.com/joeymarcantonio please check him out...please retweet about him if you like what you hear"
"twitter","ru3","DRM that doesn't hinder the purchaser's experience or ownership."
"twitter","supermark","human genome project"
"twitter","stump0","When Bush Said This, Media Said He Played Fear Cardâ€¦ | The FOX Nation http://shar.es/msJ5f"
"twitter","Eiron","The next Apollo project. Space exploration is so important to keep the human race in an aspiration mode."
"twitter","redaction00","Combine bioinformatics with our new health care system, to cure diseases and protect us from biological warfare."
"twitter","riptidef","Close the digital divide for all students beginning with the youngest first"
"twitter","thegeekshite","Whats wrong with going back to the moon and not scrapping our manned launch program in favor of the Russians? Stupid move."
"twitter","jeannej9","Apollo"
"twitter","nethed","The next Grand Challenge should be Better Education. We're building a society of delinquent or dilettantes."
"twitter","Slayer1cell","Put a man on Mars."
"twitter","dajmeister","Ubiquitous speedy (100Mbps - 1 Gbps) wireless internet access across the entire country. Or even the globe!"
"twitter","davidgaw","Cut the national debt by 90 percent."
"twitter","havingcoffee","human genome..there are more lives at stake than going into space and those lives outweigh our national glory"
"twitter","sstrudeau","let's build an eastern seaboard wind grid http://j.mp/dj2ZEI"
"twitter","stump0","Voicemails Expose Left& Racism   http://is.gd/bnbDC"
"twitter","dajmeister","make internet access a national priority: like water or electricity"
"twitter","yayster","In addition to Bandwidth, the next Grand Challenge, should be having the BEST energy/information capacity and infrastructure."
"twitter","dubruss","we should go to Mars. If only to piss republicans off by spending more money. A gnome project would sound like big bro watching."
